group,borough,campop_uri
Brecon Boroughs,Brecon,BRN.Brecon
Brecon Boroughs,Builth,BRN.Builth
Brecon Boroughs,Crickhowell,BRN.Crickhowell
Brecon Boroughs,Hay,BRN.HayOnWye
Brecon Boroughs,Talgarth,BRN.Talgarth
Caernarvon Boroughs,Caernarvon,CRN.Caernarfon
Caernarvon Boroughs,Conway,CRN.Conwy
Caernarvon Boroughs,Criccieth,CRN.Criccieth
Caernarvon Boroughs,Nevin,CRN.Nefyn
Caernarvon Boroughs,Pwllheli,CRN.Pwllheli
Cardiff Boroughs,Aberavon,GLM.Aberavon
Cardiff Boroughs,Cardiff,GLM.Cardiff
Cardiff Boroughs,Cowbridge,GLM.Cowbridge
Cardiff Boroughs,Kenfig,GLM.Kenfig
Cardiff Boroughs,Llantrissaint,GLM.Llantrisant
Cardiff Boroughs,Loughor,GLM.Loughor
Cardiff Boroughs,Neath,GLM.Neath
Cardiff Boroughs,Swansea,GLM.Swansea
Cardigan Boroughs,Aberystwyth,CRD.Aberystwyth
Cardigan Boroughs,Atpar,CRD.Adpar
Cardigan Boroughs,Cardigan,CRD.Cardigan
Cardigan Boroughs,Lampeter,CRD.Lampeter
Cardigan Boroughs,Talsarn,CRD.TalSarn
Cardigan Boroughs,Tregaron,CRD.Tregaron
Denbigh Boroughs,Chirk,DBH.Chirk
Denbigh Boroughs,Denbigh,DBH.Denbigh
Denbigh Boroughs,Holt,DBH.Holt
Denbigh Boroughs,Ruthin,DBH.Ruthin
Flint Boroughs,Caergwrle,FLT.Caergwrle
Flint Boroughs,Caerwys,FLT.Caerwys
Flint Boroughs,Flint,FLT.Flint
Flint Boroughs,Rhuddlan,FLT.Rhuddlan
Monmouth Boroughs,Abergavenny,MNM.Abergavenny
Monmouth Boroughs,Caerleon,MNM.Caerleon
Monmouth Boroughs,Chepstow,MNM.Chepstow
Monmouth Boroughs,Grosmont,MNM.Grosmont
Monmouth Boroughs,Monmouth,MNM.Monmouth
Monmouth Boroughs,Newport,MNM.Newport
Monmouth Boroughs,Trellech,MNM.Trellech
Monmouth Boroughs,Usk,MNM.Usk
Montgomery Boroughs,Llanfyllin,MTG.Llanfyllin
Montgomery Boroughs,Llanidloes,MTG.Llanidloes
Montgomery Boroughs,Montgomery,MTG.Montgomery
Montgomery Boroughs,Welshpool,MTG.Welshpool
New Radnor Boroughs,Cefnllys,RDN.Cefnllys
New Radnor Boroughs,Knighton,RDN.Knighton
New Radnor Boroughs,Knucklas,RDN.Knucklas
New Radnor Boroughs,New Radnor,RDN.NewRadnor
New Radnor Boroughs,Norton,RDN.Norton
New Radnor Boroughs,Painscastle,RDN.Painscastle
New Radnor Boroughs,Presteigne,RDN.Presteigne
New Radnor Boroughs,Rhayader,RDN.Rhayadyr
Pembroke Boroughs,Cilgerran,PMB.Cilgerran
Pembroke Boroughs,Llawhaden,PMB.Llawhaden
Pembroke Boroughs,Newport,PMB.Newport
Pembroke Boroughs,Pembroke,PMB.Pembroke
Pembroke Boroughs,Tenby,PMB.Tenby
Pembroke Boroughs,Wiston,PMB.Wiston
